,symbol,metric,value
0,MMM,Previous Close,170.26
1,MMM,Open,169.90
2,MMM,Bid,170.55 x 1000
3,MMM,Ask,174.00 x 1000
4,MMM,Day's Range,169.18 - 172.91
5,MMM,52 Week Range,163.38 - 208.95
6,MMM,Volume,"2,718,585"
7,MMM,Avg. Volume,"2,661,261"
8,ABT,Previous Close,128.38
9,ABT,Open,128.88
10,ABT,Bid,128.21 x 1800
11,ABT,Ask,130.68 x 900
12,ABT,Day's Range,128.03 - 130.46
13,ABT,52 Week Range,105.32 - 131.60
14,ABT,Volume,"4,861,106"
15,ABT,Avg. Volume,"5,159,185"
16,ABBV,Previous Close,116.87
17,ABBV,Open,117.74
18,ABBV,Bid,118.77 x 900
19,ABBV,Ask,119.00 x 900
20,ABBV,Day's Range,117.00 - 119.00
21,ABBV,52 Week Range,101.55 - 121.53
22,ABBV,Volume,"6,094,548"
23,ABBV,Avg. Volume,"6,441,527"
24,ABMD,Previous Close,355.57
25,ABMD,Open,357.32
26,ABMD,Bid,348.24 x 1000
27,ABMD,Ask,425.00 x 900
28,ABMD,Day's Range,351.21 - 362.30
29,ABMD,52 Week Range,254.41 - 387.40
30,ABMD,Volume,"234,596"
31,ABMD,Avg. Volume,"206,716"
32,ACN,Previous Close,365.30
33,ACN,Open,369.41
34,ACN,Bid,356.39 x 800
35,ACN,Ask,371.41 x 4000
36,ACN,Day's Range,357.34 - 370.76
37,ACN,52 Week Range,241.73 - 374.92
38,ACN,Volume,"2,199,414"
39,ACN,Avg. Volume,"2,069,309"
40,ATVI,Previous Close,57.29
41,ATVI,Open,56.98
42,ATVI,Bid,57.60 x 800
43,ATVI,Ask,57.98 x 1300
44,ATVI,Day's Range,56.40 - 57.44
45,ATVI,52 Week Range,56.40 - 104.53
46,ATVI,Volume,"13,235,577"
47,ATVI,Avg. Volume,"11,107,163"
48,ADBE,Previous Close,671.88
49,ADBE,Open,658.10
50,ADBE,Bid,618.00 x 1000
51,ADBE,Ask,618.88 x 800
52,ADBE,Day's Range,604.30 - 662.09
53,ADBE,52 Week Range,420.78 - 699.54
54,ADBE,Volume,"6,673,514"
55,ADBE,Avg. Volume,"2,354,687"
56,AMD,Previous Close,150.68
57,AMD,Open,151.65
58,AMD,Bid,143.51 x 900
59,AMD,Ask,143.62 x 800
60,AMD,Day's Range,140.72 - 152.38
61,AMD,52 Week Range,72.50 - 164.46
62,AMD,Volume,"65,910,028"
63,AMD,Avg. Volume,"51,356,596"
64,AAP,Previous Close,228.76
65,AAP,Open,229.16
66,AAP,Bid,226.89 x 1000
67,AAP,Ask,226.01 x 800
68,AAP,Day's Range,225.32 - 231.68
69,AAP,52 Week Range,143.15 - 243.05
70,AAP,Volume,"543,790"
71,AAP,Avg. Volume,"605,284"
72,AES,Previous Close,24.72
73,AES,Open,24.23
74,AES,Bid,0.00 x 900
75,AES,Ask,0.00 x 800
76,AES,Day's Range,23.75 - 24.26
77,AES,52 Week Range,20.27 - 29.07
78,AES,Volume,"2,474,468"
79,AES,Avg. Volume,"4,992,409"
80,AFL,Previous Close,55.25
81,AFL,Open,54.69
82,AFL,Bid,53.95 x 900
83,AFL,Ask,54.23 x 900
84,AFL,Day's Range,53.85 - 55.17
85,AFL,52 Week Range,42.73 - 57.95
86,AFL,Volume,"3,560,902"
87,AFL,Avg. Volume,"3,036,606"
88,A,Previous Close,150.99
89,A,Open,151.82
90,A,Bid,147.99 x 1200
91,A,Ask,151.87 x 800
92,A,Day's Range,147.72 - 153.00
93,A,52 Week Range,112.47 - 179.57
94,A,Volume,"1,232,792"
95,A,Avg. Volume,"1,494,785"
96,APD,Previous Close,287.43
97,APD,Open,287.88
98,APD,Bid,284.62 x 1000
99,APD,Ask,292.64 x 900
100,APD,Day's Range,285.82 - 290.70
101,APD,52 Week Range,245.75 - 316.39
102,APD,Volume,"1,084,413"
103,APD,Avg. Volume,"1,079,074"
104,AKAM,Previous Close,110.95
105,AKAM,Open,111.50
106,AKAM,Bid,110.27 x 900
107,AKAM,Ask,111.99 x 1200
108,AKAM,Day's Range,109.39 - 111.89
109,AKAM,52 Week Range,92.64 - 124.91
110,AKAM,Volume,"1,026,449"
111,AKAM,Avg. Volume,"1,355,317"
112,ALK,Previous Close,49.52
113,ALK,Open,49.31
114,ALK,Bid,48.39 x 800
115,ALK,Ask,48.39 x 800
116,ALK,Day's Range,47.73 - 49.72
117,ALK,52 Week Range,46.26 - 74.25
118,ALK,Volume,"1,653,786"
119,ALK,Avg. Volume,"1,846,011"
120,ALB,Previous Close,261.39
121,ALB,Open,262.26
122,ALB,Bid,249.81 x 1000
123,ALB,Ask,253.00 x 800
124,ALB,Day's Range,247.12 - 267.81
125,ALB,52 Week Range,133.82 - 291.48
126,ALB,Volume,"1,589,647"
127,ALB,Avg. Volume,"1,216,058"
128,ARE,Previous Close,205.55
129,ARE,Open,205.94
130,ARE,Bid,204.93 x 1200
131,ARE,Ask,205.07 x 1000
132,ARE,Day's Range,203.76 - 205.94
133,ARE,52 Week Range,154.37 - 211.70
134,ARE,Volume,"137,567"
135,ARE,Avg. Volume,"641,489"
136,ALGN,Previous Close,624.93
137,ALGN,Open,629.36
138,ALGN,Bid,617.01 x 1200
139,ALGN,Ask,635.00 x 1100
140,ALGN,Day's Range,605.49 - 632.57
141,ALGN,52 Week Range,494.45 - 737.45
142,ALGN,Volume,"536,132"
143,ALGN,Avg. Volume,"613,147"
144,ALLE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
145,LNT,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
146,ALL,Previous Close,109.68
147,ALL,Open,109.77
148,ALL,Bid,108.43 x 1000
149,ALL,Ask,108.46 x 900
150,ALL,Day's Range,107.73 - 110.81
151,ALL,52 Week Range,102.44 - 140.00
152,ALL,Volume,"2,192,205"
153,ALL,Avg. Volume,"1,923,196"
154,GOOGL,Previous Close,"2,859.32"
155,GOOGL,Open,"2,873.62"
156,GOOGL,Bid,"2,837.05 x 1100"
157,GOOGL,Ask,"2,843.99 x 800"
158,GOOGL,Day's Range,"2,806.02 - 2,888.00"
159,GOOGL,52 Week Range,"1,694.00 - 3,019.33"
160,GOOGL,Volume,"2,057,050"
161,GOOGL,Avg. Volume,"1,547,741"
162,GOOG,Previous Close,"2,875.53"
163,GOOG,Open,"2,889.91"
164,GOOG,Bid,"2,840.05 x 800"
165,GOOG,Ask,"2,854.00 x 1000"
166,GOOG,Day's Range,"2,823.00 - 2,904.26"
167,GOOG,52 Week Range,"1,699.00 - 3,037.00"
168,GOOG,Volume,"1,334,374"
169,GOOG,Avg. Volume,"1,159,554"
170,MO,Previous Close,43.21
171,MO,Open,43.53
172,MO,Bid,43.71 x 900
173,MO,Ask,43.98 x 800
174,MO,Day's Range,43.26 - 43.95
175,MO,52 Week Range,40.00 - 52.59
176,MO,Volume,"7,782,595"
177,MO,Avg. Volume,"7,476,600"
178,AMZN,Previous Close,"3,437.36"
179,AMZN,Open,"3,455.00"
180,AMZN,Bid,"3,383.50 x 900"
181,AMZN,Ask,"3,387.99 x 1200"
182,AMZN,Day's Range,"3,338.92 - 3,469.86"
183,AMZN,52 Week Range,"2,881.00 - 3,773.08"
184,AMZN,Volume,"4,035,550"
185,AMZN,Avg. Volume,"3,235,768"
186,AMCR,Previous Close,11.54
187,AMCR,Open,11.69
188,AMCR,Bid,11.63 x 4000
189,AMCR,Ask,11.64 x 2200
190,AMCR,Day's Range,11.60 - 11.70
191,AMCR,52 Week Range,10.33 - 12.92
192,AMCR,Volume,"2,772,945"
193,AMCR,Avg. Volume,"5,309,295"
194,AEE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
195,AAL,Previous Close,17.42
196,AAL,Open,17.27
197,AAL,Bid,16.64 x 4000
198,AAL,Ask,16.67 x 2200
199,AAL,Day's Range,16.34 - 17.29
200,AAL,52 Week Range,14.71 - 26.09
201,AAL,Volume,"57,883,988"
202,AAL,Avg. Volume,"33,513,182"
203,AEP,Previous Close,81.31
204,AEP,Open,81.99
205,AEP,Bid,82.33 x 900
206,AEP,Ask,82.33 x 900
207,AEP,Day's Range,81.03 - 82.57
208,AEP,52 Week Range,74.80 - 91.49
209,AEP,Volume,"2,770,516"
210,AEP,Avg. Volume,"2,669,611"
211,AXP,Previous Close,156.77
212,AXP,Open,158.08
213,AXP,Bid,155.39 x 1000
214,AXP,Ask,155.60 x 1000
215,AXP,Day's Range,153.63 - 158.33
216,AXP,52 Week Range,112.10 - 189.03
217,AXP,Volume,"3,941,837"
218,AXP,Avg. Volume,"3,758,336"
219,AIG,Previous Close,53.96
220,AIG,Open,53.91
221,AIG,Bid,53.01 x 800
222,AIG,Ask,53.38 x 800
223,AIG,Day's Range,53.06 - 54.19
224,AIG,52 Week Range,36.77 - 62.54
225,AIG,Volume,"5,047,527"
226,AIG,Avg. Volume,"4,489,296"
227,AMT,Previous Close,266.24
228,AMT,Open,265.72
229,AMT,Bid,267.05 x 800
230,AMT,Ask,269.00 x 1000
231,AMT,Day's Range,263.46 - 269.23
232,AMT,52 Week Range,197.50 - 303.72
233,AMT,Volume,"1,614,713"
234,AMT,Avg. Volume,"1,664,609"
235,AWK,Previous Close,170.37
236,AWK,Open,171.57
237,AWK,Bid,167.66 x 900
238,AWK,Ask,170.59 x 1400
239,AWK,Day's Range,167.64 - 171.82
240,AWK,52 Week Range,131.01 - 189.35
241,AWK,Volume,"796,192"
242,AWK,Avg. Volume,"703,319"
243,AMP,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
244,ABC,Previous Close,125.34
245,ABC,Open,125.34
246,ABC,Bid,124.79 x 1300
247,ABC,Ask,124.92 x 800
248,ABC,Day's Range,124.38 - 125.68
249,ABC,52 Week Range,94.89 - 129.54
250,ABC,Volume,"360,895"
251,ABC,Avg. Volume,"734,582"
252,AME,Previous Close,139.85
253,AME,Open,140.15
254,AME,Bid,140.00 x 800
255,AME,Ask,140.08 x 900
256,AME,Day's Range,139.00 - 141.15
257,AME,52 Week Range,103.07 - 141.15
258,AME,Volume,"1,009,127"
259,AME,Avg. Volume,"1,004,003"
260,AMGN,Previous Close,201.17
261,AMGN,Open,201.38
262,AMGN,Bid,202.00 x 1100
263,AMGN,Ask,202.50 x 900
264,AMGN,Day's Range,200.84 - 203.80
265,AMGN,52 Week Range,198.64 - 276.69
266,AMGN,Volume,"3,569,883"
267,AMGN,Avg. Volume,"2,775,960"
268,APH,Previous Close,84.02
269,APH,Open,84.05
270,APH,Bid,84.96 x 1000
271,APH,Ask,84.97 x 1300
272,APH,Day's Range,83.57 - 85.00
273,APH,52 Week Range,58.58 - 85.00
274,APH,Volume,"2,477,344"
275,APH,Avg. Volume,"2,119,278"
276,ADI,Previous Close,180.63
277,ADI,Open,182.97
278,ADI,Bid,179.64 x 1400
279,ADI,Ask,181.99 x 1200
280,ADI,Day's Range,178.71 - 183.95
281,ADI,52 Week Range,139.49 - 191.95
282,ADI,Volume,"2,905,922"
283,ADI,Avg. Volume,"3,810,625"
284,ANSS,Previous Close,391.82
285,ANSS,Open,393.41
286,ANSS,Bid,394.53 x 1000
287,ANSS,Ask,394.98 x 1000
288,ANSS,Day's Range,389.36 - 396.29
289,ANSS,52 Week Range,292.79 - 413.89
290,ANSS,Volume,"226,828"
291,ANSS,Avg. Volume,"295,290"
292,ANTM,Previous Close,399.74
293,ANTM,Open,399.49
294,ANTM,Bid,380.00 x 800
295,ANTM,Ask,395.33 x 800
296,ANTM,Day's Range,392.40 - 403.90
297,ANTM,52 Week Range,286.04 - 439.90
298,ANTM,Volume,"1,470,091"
299,ANTM,Avg. Volume,"1,142,615"
300,AON,Previous Close,299.81
301,AON,Open,300.29
302,AON,Bid,295.53 x 800
303,AON,Ask,295.62 x 800
304,AON,Day's Range,294.11 - 300.76
305,AON,52 Week Range,197.86 - 326.25
306,AON,Volume,"1,251,788"
307,AON,Avg. Volume,"1,288,233"
308,AOS,Previous Close,82.09
309,AOS,Open,82.00
310,AOS,Bid,81.65 x 800
311,AOS,Ask,81.67 x 800
312,AOS,Day's Range,81.06 - 82.00
313,AOS,52 Week Range,52.08 - 82.25
314,AOS,Volume,"751,198"
315,AOS,Avg. Volume,"1,052,093"
316,APA,Previous Close,26.18
317,APA,Open,26.71
318,APA,Bid,25.57 x 1400
319,APA,Ask,25.58 x 3000
320,APA,Day's Range,25.28 - 26.97
321,APA,52 Week Range,13.97 - 31.14
322,APA,Volume,"14,770,312"
323,APA,Avg. Volume,"10,267,880"
324,AAPL,Previous Close,163.76
325,AAPL,Open,164.02
326,AAPL,Bid,161.22 x 1400
327,AAPL,Ask,161.26 x 800
328,AAPL,Day's Range,159.72 - 164.96
329,AAPL,52 Week Range,116.21 - 170.30
330,AAPL,Volume,"118,023,116"
331,AAPL,Avg. Volume,"83,343,380"
332,AMAT,Previous Close,146.49
333,AMAT,Open,148.51
334,AMAT,Bid,145.21 x 1100
335,AMAT,Ask,145.83 x 900
336,AMAT,Day's Range,143.33 - 150.74
337,AMAT,52 Week Range,83.53 - 159.00
338,AMAT,Volume,"7,767,972"
339,AMAT,Avg. Volume,"7,368,936"
340,APTV,Previous Close,163.41
341,APTV,Open,167.24
342,APTV,Bid,165.59 x 800
343,APTV,Ask,165.58 x 900
344,APTV,Day's Range,162.77 - 168.14
345,APTV,52 Week Range,119.75 - 180.81
346,APTV,Volume,"1,486,545"
347,APTV,Avg. Volume,"1,483,900"
348,ADM,Previous Close,62.40
349,ADM,Open,62.73
350,ADM,Bid,62.00 x 800
351,ADM,Ask,62.88 x 800
352,ADM,Day's Range,62.06 - 63.53
353,ADM,52 Week Range,48.57 - 69.30
354,ADM,Volume,"1,820,342"
355,ADM,Avg. Volume,"2,551,944"
356,ANET,Previous Close,123.28
357,ANET,Open,124.25
358,ANET,Bid,120.80 x 900
359,ANET,Ask,121.72 x 800
360,ANET,Day's Range,119.63 - 124.98
361,ANET,52 Week Range,65.52 - 134.14
362,ANET,Volume,"1,769,481"
363,ANET,Avg. Volume,"2,100,967"
364,AJG,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
365,AIZ,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
366,T,Previous Close,23.05
367,T,Open,23.02
368,T,Bid,23.45 x 36200
369,T,Ask,23.48 x 1100
370,T,Day's Range,22.91 - 23.53
371,T,52 Week Range,22.22 - 33.88
372,T,Volume,"70,505,841"
373,T,Avg. Volume,"45,003,714"
374,ATO,Previous Close,95.43
375,ATO,Open,95.87
376,ATO,Bid,85.00 x 1000
377,ATO,Ask,99.80 x 800
378,ATO,Day's Range,95.12 - 96.28
379,ATO,52 Week Range,84.59 - 104.99
380,ATO,Volume,"895,177"
381,ATO,Avg. Volume,"745,309"
382,ADSK,Previous Close,257.66
383,ADSK,Open,259.61
384,ADSK,Bid,257.00 x 900
385,ADSK,Ask,259.75 x 900
386,ADSK,Day's Range,253.10 - 263.49
387,ADSK,52 Week Range,245.05 - 344.39
388,ADSK,Volume,"2,389,166"
389,ADSK,Avg. Volume,"1,470,046"
390,ADP,Previous Close,232.43
391,ADP,Open,232.20
392,ADP,Bid,225.00 x 900
393,ADP,Ask,230.02 x 1000
394,ADP,Day's Range,227.76 - 233.15
395,ADP,52 Week Range,159.31 - 241.18
396,ADP,Volume,"1,561,575"
397,ADP,Avg. Volume,"1,422,612"
398,AZO,Previous Close,"1,868.29"
399,AZO,Open,"1,875.46"
400,AZO,Bid,"1,866.29 x 800"
401,AZO,Ask,"1,869.77 x 1000"
402,AZO,Day's Range,"1,867.08 - 1,897.88"
403,AZO,52 Week Range,"1,085.85 - 1,941.36"
404,AZO,Volume,"97,550"
405,AZO,Avg. Volume,"168,016"
406,AVB,Previous Close,241.01
407,AVB,Open,241.05
408,AVB,Bid,244.30 x 800
409,AVB,Ask,244.61 x 1000
410,AVB,Day's Range,240.45 - 244.59
411,AVB,52 Week Range,154.84 - 244.59
412,AVB,Volume,"184,806"
413,AVB,Avg. Volume,"516,628"
414,AVY,Previous Close,213.95
415,AVY,Open,217.11
416,AVY,Bid,216.09 x 800
417,AVY,Ask,216.30 x 800
418,AVY,Day's Range,214.85 - 218.24
419,AVY,52 Week Range,147.40 - 229.24
420,AVY,Volume,"190,904"
421,AVY,Avg. Volume,"397,577"
422,BKR,Previous Close,24.00
423,BKR,Open,24.30
424,BKR,Bid,23.43 x 1300
425,BKR,Ask,25.01 x 1200
426,BKR,Day's Range,23.73 - 24.40
427,BKR,52 Week Range,18.75 - 27.66
428,BKR,Volume,"7,792,161"
429,BKR,Avg. Volume,"10,066,012"
430,BLL,Previous Close,94.70
431,BLL,Open,95.53
432,BLL,Bid,94.50 x 900
433,BLL,Ask,94.95 x 800
434,BLL,Day's Range,94.66 - 96.66
435,BLL,52 Week Range,77.95 - 98.09
436,BLL,Volume,"1,618,387"
437,BLL,Avg. Volume,"1,777,282"
438,BAC,Previous Close,44.89
439,BAC,Open,45.00
440,BAC,Bid,43.89 x 1800
441,BAC,Ask,43.95 x 1100
442,BAC,Day's Range,43.60 - 45.07
443,BAC,52 Week Range,28.14 - 48.69
444,BAC,Volume,"74,565,387"
445,BAC,Avg. Volume,"45,859,439"
446,BBWI,Previous Close,74.51
447,BBWI,Open,74.50
448,BBWI,Bid,69.15 x 900
449,BBWI,Ask,73.25 x 800
450,BBWI,Day's Range,71.46 - 75.45
451,BBWI,52 Week Range,29.18 - 82.00
452,BBWI,Volume,"1,884,420"
453,BBWI,Avg. Volume,"2,597,385"
454,BAX,Previous Close,76.29
455,BAX,Open,76.32
456,BAX,Bid,76.59 x 800
457,BAX,Ask,76.62 x 1000
458,BAX,Day's Range,76.05 - 76.97
459,BAX,52 Week Range,73.12 - 88.32
460,BAX,Volume,"1,309,719"
461,BAX,Avg. Volume,"2,929,787"
462,BDX,Previous Close,241.94
463,BDX,Open,243.72
464,BDX,Bid,232.00 x 1300
465,BDX,Ask,255.00 x 1400
466,BDX,Day's Range,240.56 - 244.25
467,BDX,52 Week Range,234.61 - 267.37
468,BDX,Volume,"1,256,738"
469,BDX,Avg. Volume,"1,444,730"
470,BRK.B,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
471,BBY,Previous Close,103.92
472,BBY,Open,104.54
473,BBY,Bid,106.00 x 1000
474,BBY,Ask,106.50 x 800
475,BBY,Day's Range,103.65 - 106.05
476,BBY,52 Week Range,95.93 - 141.97
477,BBY,Volume,"3,938,108"
478,BBY,Avg. Volume,"2,708,615"
479,BIO,Previous Close,750.17
480,BIO,Open,751.22
481,BIO,Bid,726.67 x 1100
482,BIO,Ask,774.79 x 800
483,BIO,Day's Range,744.47 - 761.30
484,BIO,52 Week Range,528.30 - 832.70
485,BIO,Volume,"81,311"
486,BIO,Avg. Volume,"118,030"
487,TECH,Previous Close,503.33
488,TECH,Open,502.05
489,TECH,Bid,498.72 x 800
490,TECH,Ask,501.17 x 800
491,TECH,Day's Range,489.76 - 503.65
492,TECH,52 Week Range,264.05 - 543.85
493,TECH,Volume,"103,788"
494,TECH,Avg. Volume,"337,898"
495,BIIB,Previous Close,228.52
496,BIIB,Open,227.69
497,BIIB,Bid,221.47 x 1000
498,BIIB,Ask,224.50 x 800
499,BIIB,Day's Range,221.75 - 229.04
500,BIIB,52 Week Range,221.72 - 468.55
501,BIIB,Volume,"1,314,965"
502,BIIB,Avg. Volume,"1,164,744"
503,BLK,Previous Close,918.85
504,BLK,Open,923.10
505,BLK,Bid,877.40 x 1000
506,BLK,Ask,920.00 x 800
507,BLK,Day's Range,887.78 - 924.00
508,BLK,52 Week Range,670.28 - 973.16
509,BLK,Volume,"614,340"
510,BLK,Avg. Volume,"541,480"
511,BK,Previous Close,56.15
512,BK,Open,56.26
513,BK,Bid,53.56 x 1800
514,BK,Ask,54.89 x 900
515,BK,Day's Range,54.39 - 56.36
516,BK,52 Week Range,39.46 - 60.52
517,BK,Volume,"5,173,464"
518,BK,Avg. Volume,"4,484,942"
519,BA,Previous Close,202.38
520,BA,Open,198.70
521,BA,Bid,197.25 x 1000
522,BA,Ask,198.00 x 800
523,BA,Day's Range,195.42 - 199.90
524,BA,52 Week Range,188.00 - 278.57
525,BA,Volume,"10,448,361"
526,BA,Avg. Volume,"9,685,742"
527,BKNG,Previous Close,"2,171.93"
528,BKNG,Open,"2,185.00"
529,BKNG,Bid,"2,113.66 x 4000"
530,BKNG,Ask,"2,120.00 x 900"
531,BKNG,Day's Range,"2,087.81 - 2,195.08"
532,BKNG,52 Week Range,"1,860.73 - 2,687.29"
533,BKNG,Volume,"401,190"
534,BKNG,Avg. Volume,"320,480"
535,BWA,Previous Close,44.27
536,BWA,Open,44.10
537,BWA,Bid,42.47 x 1000
538,BWA,Ask,44.42 x 800
539,BWA,Day's Range,43.30 - 44.44
540,BWA,52 Week Range,36.26 - 55.55
541,BWA,Volume,"1,225,092"
542,BWA,Avg. Volume,"1,917,496"
543,BXP,Previous Close,118.00
544,BXP,Open,118.72
545,BXP,Bid,119.72 x 1400
546,BXP,Ask,119.80 x 800
547,BXP,Day's Range,118.36 - 120.43
548,BXP,52 Week Range,88.45 - 124.24
549,BXP,Volume,"315,071"
550,BXP,Avg. Volume,"663,239"
551,BSX,Previous Close,39.60
552,BSX,Open,39.83
553,BSX,Bid,39.70 x 800
554,BSX,Ask,39.51 x 1000
555,BSX,Day's Range,38.97 - 40.09
556,BSX,52 Week Range,33.42 - 46.29
557,BSX,Volume,"8,318,005"
558,BSX,Avg. Volume,"7,066,504"
559,BMY,Previous Close,55.41
560,BMY,Open,55.76
561,BMY,Bid,56.29 x 1000
562,BMY,Ask,56.85 x 1100
563,BMY,Day's Range,55.76 - 56.69
564,BMY,52 Week Range,53.22 - 69.75
565,BMY,Volume,"15,449,221"
566,BMY,Avg. Volume,"12,352,642"
567,AVGO,Previous Close,552.45
568,AVGO,Open,564.94
569,AVGO,Bid,558.49 x 800
570,AVGO,Ask,564.76 x 1000
571,AVGO,Day's Range,550.40 - 569.00
572,AVGO,52 Week Range,398.28 - 577.21
573,AVGO,Volume,"2,030,739"
574,AVGO,Avg. Volume,"1,695,980"
575,BR,Previous Close,171.37
576,BR,Open,172.08
577,BR,Bid,173.09 x 800
578,BR,Ask,173.38 x 800
579,BR,Day's Range,171.51 - 173.51
580,BR,52 Week Range,137.91 - 185.00
581,BR,Volume,"46,874"
582,BR,Avg. Volume,"490,047"
583,BRO,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
584,BF.B,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
585,CHRW,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
586,CDNS,Previous Close,175.05
587,CDNS,Open,178.00
588,CDNS,Bid,184.86 x 1200
589,CDNS,Ask,185.00 x 900
590,CDNS,Day's Range,177.55 - 185.54
591,CDNS,52 Week Range,113.80 - 190.09
592,CDNS,Volume,"1,005,612"
593,CDNS,Avg. Volume,"1,142,869"
594,CZR,Previous Close,90.03
595,CZR,Open,90.01
596,CZR,Bid,86.71 x 1000
597,CZR,Ask,86.79 x 800
598,CZR,Day's Range,83.65 - 90.17
599,CZR,52 Week Range,66.34 - 119.81
600,CZR,Volume,"4,236,068"
601,CZR,Avg. Volume,"2,289,732"
602,CPB,Previous Close,40.52
603,CPB,Open,40.68
604,CPB,Bid,40.89 x 900
605,CPB,Ask,41.12 x 800
606,CPB,Day's Range,40.60 - 41.51
607,CPB,52 Week Range,39.76 - 53.77
608,CPB,Volume,"2,170,135"
609,CPB,Avg. Volume,"2,338,664"
610,COF,Previous Close,143.36
611,COF,Open,143.02
612,COF,Bid,140.65 x 800
613,COF,Ask,143.08 x 900
614,COF,Day's Range,140.68 - 143.75
615,COF,52 Week Range,89.72 - 177.95
616,COF,Volume,"2,768,777"
617,COF,Avg. Volume,"2,928,619"
618,CAH,Previous Close,46.81
619,CAH,Open,46.99
620,CAH,Bid,46.50 x 1300
621,CAH,Ask,47.68 x 3000
622,CAH,Day's Range,46.79 - 47.71
623,CAH,52 Week Range,45.85 - 62.96
624,CAH,Volume,"2,590,478"
625,CAH,Avg. Volume,"3,538,800"
626,KMX,Previous Close,154.85
627,KMX,Open,153.39
628,KMX,Bid,151.58 x 1000
629,KMX,Ask,151.60 x 800
630,KMX,Day's Range,151.46 - 154.95
631,KMX,52 Week Range,90.30 - 155.98
632,KMX,Volume,"883,159"
633,KMX,Avg. Volume,"1,062,728"
634,CCL,Previous Close,17.89
635,CCL,Open,17.78
636,CCL,Bid,17.33 x 3100
637,CCL,Ask,17.35 x 1800
638,CCL,Day's Range,16.84 - 17.80
639,CCL,52 Week Range,16.32 - 31.52
640,CCL,Volume,"59,209,738"
641,CCL,Avg. Volume,"34,286,476"
642,CARR,Previous Close,55.52
643,CARR,Open,55.86
644,CARR,Bid,54.84 x 1000
645,CARR,Ask,56.20 x 800
646,CARR,Day's Range,54.97 - 56.17
647,CARR,52 Week Range,34.21 - 58.89
648,CARR,Volume,"2,980,167"
649,CARR,Avg. Volume,"4,068,487"
650,CTLT,Previous Close,122.21
651,CTLT,Open,123.51
652,CTLT,Bid,123.39 x 900
653,CTLT,Ask,123.50 x 1000
654,CTLT,Day's Range,121.83 - 124.11
655,CTLT,52 Week Range,91.87 - 142.64
656,CTLT,Volume,"741,978"
657,CTLT,Avg. Volume,"910,968"
658,CAT,Previous Close,196.79
659,CAT,Open,197.67
660,CAT,Bid,197.81 x 800
661,CAT,Ask,198.82 x 1200
662,CAT,Day's Range,195.74 - 199.39
663,CAT,52 Week Range,175.11 - 246.69
664,CAT,Volume,"3,248,750"
665,CAT,Avg. Volume,"3,517,369"
666,CBOE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
667,CBRE,Previous Close,99.61
668,CBRE,Open,99.68
669,CBRE,Bid,96.40 x 1200
670,CBRE,Ask,100.09 x 800
671,CBRE,Day's Range,98.54 - 100.90
672,CBRE,52 Week Range,57.34 - 107.88
673,CBRE,Volume,"1,646,028"
674,CBRE,Avg. Volume,"1,194,782"
675,CDW,Previous Close,191.08
676,CDW,Open,191.47
677,CDW,Bid,190.00 x 900
678,CDW,Ask,190.81 x 1000
679,CDW,Day's Range,190.31 - 192.75
680,CDW,52 Week Range,125.46 - 203.82
681,CDW,Volume,"427,897"
682,CDW,Avg. Volume,"702,190"
683,CE,Previous Close,160.89
684,CE,Open,161.98
685,CE,Bid,159.97 x 900
686,CE,Ask,160.12 x 1100
687,CE,Day's Range,159.52 - 162.32
688,CE,52 Week Range,115.42 - 174.05
689,CE,Volume,"145,110"
690,CE,Avg. Volume,"681,903"
691,CNC,Previous Close,71.42
692,CNC,Open,71.71
693,CNC,Bid,70.75 x 1000
694,CNC,Ask,70.77 x 800
695,CNC,Day's Range,70.31 - 72.51
696,CNC,52 Week Range,57.16 - 77.65
697,CNC,Volume,"1,940,941"
698,CNC,Avg. Volume,"3,791,048"
699,CNP,Previous Close,26.77
700,CNP,Open,26.71
701,CNP,Bid,26.00 x 2200
702,CNP,Ask,26.99 x 2900
703,CNP,Day's Range,26.23 - 26.79
704,CNP,52 Week Range,19.31 - 27.20
705,CNP,Volume,"3,444,808"
706,CNP,Avg. Volume,"5,341,360"
707,CDAY,Previous Close,128.21
708,CDAY,Open,123.69
709,CDAY,Bid,120.94 x 900
710,CDAY,Ask,121.11 x 800
711,CDAY,Day's Range,119.04 - 124.17
712,CDAY,52 Week Range,78.20 - 130.37
713,CDAY,Volume,"922,301"
714,CDAY,Avg. Volume,"1,369,495"
715,CERN,Previous Close,76.67
716,CERN,Open,76.67
717,CERN,Bid,78.04 x 800
