,symbol,metric,value
3152,TTWO,Bid,165.84 x 800
3153,TTWO,Ask,165.90 x 1800
3154,TTWO,Day's Range,159.82 - 165.99
3155,TTWO,52 Week Range,144.58 - 214.91
3156,TTWO,Volume,"1,329,146"
3157,TTWO,Avg. Volume,"1,322,409"
3158,TPR,Previous Close,40.95
3159,TPR,Open,41.19
3160,TPR,Bid,40.56 x 900
3161,TPR,Ask,41.79 x 800
3162,TPR,Day's Range,40.11 - 41.69
3163,TPR,52 Week Range,27.66 - 49.67
3164,TPR,Volume,"3,719,338"
3165,TPR,Avg. Volume,"3,342,357"
3166,TGT,Previous Close,245.50
3167,TGT,Open,246.73
3168,TGT,Bid,247.20 x 900
3169,TGT,Ask,247.75 x 1100
3170,TGT,Day's Range,245.31 - 248.41
3171,TGT,52 Week Range,166.83 - 268.98
3172,TGT,Volume,"4,716,323"
3173,TGT,Avg. Volume,"3,191,039"
3174,TEL,Previous Close,163.23
3175,TEL,Open,162.76
3176,TEL,Bid,109.51 x 1100
3177,TEL,Ask,166.00 x 1000
3178,TEL,Day's Range,160.71 - 164.53
3179,TEL,52 Week Range,108.17 - 164.53
3180,TEL,Volume,"1,553,855"
3181,TEL,Avg. Volume,"1,450,790"
3182,TDY,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3183,TFX,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3184,TER,Previous Close,150.94
3185,TER,Open,153.05
3186,TER,Bid,150.59 x 800
3187,TER,Ask,150.81 x 1200
3188,TER,Day's Range,149.92 - 155.00
3189,TER,52 Week Range,104.05 - 158.22
3190,TER,Volume,"402,542"
3191,TER,Avg. Volume,"1,527,711"
3192,TSLA,Previous Close,"1,084.60"
3193,TSLA,Open,"1,084.79"
3194,TSLA,Bid,"1,008.00 x 900"
3195,TSLA,Ask,"1,008.50 x 1800"
3196,TSLA,Day's Range,"1,000.21 - 1,090.58"
3197,TSLA,52 Week Range,"539.49 - 1,243.49"
3198,TSLA,Volume,"30,516,306"
3199,TSLA,Avg. Volume,"25,463,979"
3200,TXN,Previous Close,193.58
3201,TXN,Open,194.63
3202,TXN,Bid,193.40 x 800
3203,TXN,Ask,193.50 x 1100
3204,TXN,Day's Range,191.74 - 195.98
3205,TXN,52 Week Range,159.56 - 202.26
3206,TXN,Volume,"4,901,026"
3207,TXN,Avg. Volume,"4,024,041"
3208,TXT,Previous Close,76.87
3209,TXT,Open,76.81
3210,TXT,Bid,72.63 x 800
3211,TXT,Ask,77.87 x 800
3212,TXT,Day's Range,76.64 - 77.27
3213,TXT,52 Week Range,44.19 - 78.13
3214,TXT,Volume,"626,184"
3215,TXT,Avg. Volume,"1,135,860"
3216,TMO,Previous Close,627.58
3217,TMO,Open,634.15
3218,TMO,Bid,631.82 x 800
3219,TMO,Ask,643.72 x 1100
3220,TMO,Day's Range,618.33 - 636.60
3221,TMO,52 Week Range,433.52 - 666.65
3222,TMO,Volume,"1,517,333"
3223,TMO,Avg. Volume,"1,352,544"
3224,TJX,Previous Close,70.25
3225,TJX,Open,70.52
3226,TJX,Bid,70.68 x 1100
3227,TJX,Ask,70.69 x 800
3228,TJX,Day's Range,69.79 - 70.92
3229,TJX,52 Week Range,61.15 - 76.94
3230,TJX,Volume,"7,613,922"
3231,TJX,Avg. Volume,"6,945,474"
3232,TSCO,Previous Close,227.65
3233,TSCO,Open,229.29
3234,TSCO,Bid,228.00 x 1100
3235,TSCO,Ask,228.14 x 1000
3236,TSCO,Day's Range,226.16 - 230.91
3237,TSCO,52 Week Range,133.60 - 232.45
3238,TSCO,Volume,"702,948"
3239,TSCO,Avg. Volume,"778,004"
3240,TT,Previous Close,188.67
3241,TT,Open,190.21
3242,TT,Bid,0.00 x 800
3243,TT,Ask,0.00 x 900
3244,TT,Day's Range,188.65 - 192.95
3245,TT,52 Week Range,137.08 - 207.06
3246,TT,Volume,"1,069,511"
3247,TT,Avg. Volume,"1,116,315"
3248,TDG,Previous Close,584.22
3249,TDG,Open,577.91
3250,TDG,Bid,580.43 x 800
3251,TDG,Ask,581.69 x 800
3252,TDG,Day's Range,568.32 - 587.34
3253,TDG,52 Week Range,517.37 - 688.03
3254,TDG,Volume,"432,751"
3255,TDG,Avg. Volume,"293,477"
3256,TRV,Previous Close,158.97
3257,TRV,Open,154.40
3258,TRV,Bid,149.28 x 1200
3259,TRV,Ask,156.87 x 800
3260,TRV,Day's Range,151.56 - 155.13
3261,TRV,52 Week Range,129.57 - 163.29
3262,TRV,Volume,"1,246,228"
3263,TRV,Avg. Volume,"1,261,969"
3264,TRMB,Previous Close,86.29
3265,TRMB,Open,86.92
3266,TRMB,Bid,80.00 x 1400
3267,TRMB,Ask,83.77 x 900
3268,TRMB,Day's Range,82.79 - 87.47
3269,TRMB,52 Week Range,61.74 - 96.49
3270,TRMB,Volume,"2,022,213"
3271,TRMB,Avg. Volume,"1,103,447"
3272,TFC,Previous Close,60.38
3273,TFC,Open,60.37
3274,TFC,Bid,58.51 x 1000
3275,TFC,Ask,58.39 x 900
3276,TFC,Day's Range,58.13 - 60.53
3277,TFC,52 Week Range,45.44 - 65.42
3278,TFC,Volume,"6,399,354"
3279,TFC,Avg. Volume,"4,776,960"
3280,TWTR,Previous Close,42.65
3281,TWTR,Open,42.82
3282,TWTR,Bid,41.94 x 1400
3283,TWTR,Ask,42.00 x 800
3284,TWTR,Day's Range,41.01 - 43.10
3285,TWTR,52 Week Range,41.01 - 80.75
3286,TWTR,Volume,"23,911,199"
3287,TWTR,Avg. Volume,"15,417,916"
3288,TYL,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3289,TSN,Previous Close,80.79
3290,TSN,Open,81.74
3291,TSN,Bid,82.23 x 800
3292,TSN,Ask,82.99 x 800
3293,TSN,Day's Range,81.64 - 83.08
3294,TSN,52 Week Range,62.47 - 85.61
3295,TSN,Volume,"2,954,527"
3296,TSN,Avg. Volume,"1,752,652"
3297,UDR,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3298,ULTA,Previous Close,383.64
3299,ULTA,Open,402.42
3300,ULTA,Bid,377.00 x 1400
3301,ULTA,Ask,380.65 x 800
3302,ULTA,Day's Range,373.01 - 403.97
3303,ULTA,52 Week Range,258.00 - 417.85
3304,ULTA,Volume,"2,128,561"
3305,ULTA,Avg. Volume,"722,019"
3306,USB,Previous Close,56.60
3307,USB,Open,56.62
3308,USB,Bid,55.01 x 800
3309,USB,Ask,55.40 x 1800
3310,USB,Day's Range,55.22 - 56.82
3311,USB,52 Week Range,42.47 - 63.01
3312,USB,Volume,"5,959,364"
3313,USB,Avg. Volume,"5,236,246"
3314,UAA,Previous Close,23.59
3315,UAA,Open,24.08
3316,UAA,Bid,22.45 x 900
3317,UAA,Ask,23.12 x 1300
3318,UAA,Day's Range,22.88 - 24.47
3319,UAA,52 Week Range,16.23 - 27.28
3320,UAA,Volume,"5,587,492"
3321,UAA,Avg. Volume,"6,363,167"
3322,UA,Previous Close,21.35
3323,UA,Open,20.44
3324,UA,Bid,20.45 x 800
3325,UA,Ask,20.82 x 2200
3326,UA,Day's Range,20.24 - 20.88
3327,UA,52 Week Range,14.31 - 23.00
3328,UA,Volume,"1,276,088"
3329,UA,Avg. Volume,"2,540,933"
3330,UNP,Previous Close,240.08
3331,UNP,Open,241.17
3332,UNP,Bid,240.43 x 800
3333,UNP,Ask,239.52 x 1100
3334,UNP,Day's Range,238.05 - 243.03
3335,UNP,52 Week Range,193.14 - 247.76
3336,UNP,Volume,"2,510,695"
3337,UNP,Avg. Volume,"3,057,258"
3338,UAL,Previous Close,41.64
3339,UAL,Open,41.22
3340,UAL,Bid,40.61 x 1200
3341,UAL,Ask,40.65 x 800
3342,UAL,Day's Range,39.70 - 41.59
3343,UAL,52 Week Range,38.88 - 63.70
3344,UAL,Volume,"16,820,802"
3345,UAL,Avg. Volume,"12,173,658"
3346,UNH,Previous Close,444.57
3347,UNH,Open,447.77
3348,UNH,Bid,449.35 x 800
3349,UNH,Ask,447.85 x 900
3350,UNH,Day's Range,445.17 - 454.44
3351,UNH,52 Week Range,320.35 - 466.00
3352,UNH,Volume,"3,036,697"
3353,UNH,Avg. Volume,"2,956,801"
3354,UPS,Previous Close,199.90
3355,UPS,Open,201.04
3356,UPS,Bid,200.30 x 1100
3357,UPS,Ask,201.11 x 1000
3358,UPS,Day's Range,197.76 - 202.63
3359,UPS,52 Week Range,154.76 - 220.24
3360,UPS,Volume,"2,584,540"
3361,UPS,Avg. Volume,"2,725,057"
3362,URI,Previous Close,339.42
3363,URI,Open,343.79
3364,URI,Bid,332.10 x 1000
3365,URI,Ask,332.58 x 1200
3366,URI,Day's Range,330.42 - 343.96
3367,URI,52 Week Range,217.39 - 414.99
3368,URI,Volume,"178,966"
3369,URI,Avg. Volume,"606,196"
3370,UHS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
3371,VLO,Previous Close,71.17
3372,VLO,Open,72.25
3373,VLO,Bid,69.26 x 900
3374,VLO,Ask,69.54 x 900
3375,VLO,Day's Range,69.15 - 72.51
3376,VLO,52 Week Range,51.90 - 84.95
3377,VLO,Volume,"3,886,324"
3378,VLO,Avg. Volume,"3,861,249"
3379,VTR,Previous Close,51.04
3380,VTR,Open,50.89
3381,VTR,Bid,51.58 x 900
3382,VTR,Ask,51.60 x 900
3383,VTR,Day's Range,50.83 - 51.80
3384,VTR,52 Week Range,45.40 - 61.09
3385,VTR,Volume,"626,572"
3386,VTR,Avg. Volume,"2,203,148"
